INN X,INN Y,INP X,INP Y,VOUT X,VOUT Y
1.564500727377645e-05,1.23,1.564500727377645e-05,1.235499272622355,1.564500727377645e-05,3.29981208089032
1.56631143452077e-05,1.23,1.56631143452077e-05,1.23368856547923,1.56631143452077e-05,3.299812394214527
1.568257720057812e-05,1.23,1.568257720057812e-05,1.231742279942188,1.568257720057812e-05,3.299813269308972
1.569691871899109e-05,1.23,1.569691871899109e-05,1.230308128100891,1.569691871899109e-05,3.299814015870326
1.571011266843451e-05,1.23,1.571011266843451e-05,1.228988733156549,1.571011266843451e-05,3.299815436614931
1.572192493994089e-05,1.23,1.572192493994089e-05,1.227807506005911,1.572192493994089e-05,3.299815459730492
1.573416064032142e-05,1.23,1.573416064032142e-05,1.226583935967858,1.573416064032142e-05,3.299816063102037
1.574802267758526e-05,1.23,1.574802267758526e-05,1.225197732241474,1.574802267758526e-05,3.299815189791536
1.576920005555124e-05,1.23,1.576920005555124e-05,1.223079994444876,1.576920005555124e-05,3.299755910837868
1.577030307277537e-05,1.23,1.577030307277537e-05,1.222969692722463,1.577030307277537e-05,3.299746014100592
1.577250910722362e-05,1.23,1.577250910722362e-05,1.222749089277638,1.577250910722362e-05,3.299520815187859
1.577361212444775e-05,1.23,1.577361212444775e-05,1.222638787555225,1.577361212444775e-05,3.299241483194777
1.577562226127293e-05,1.23,1.577562226127293e-05,1.222437773872707,1.577562226127293e-05,3.296838150757972
1.577812369123941e-05,1.23,1.577812369123941e-05,1.222187630876058,1.577812369123941e-05,3.272304318219658
1.578028291541608e-05,1.23,1.578028291541608e-05,1.221971708458392,1.578028291541608e-05,3.203796351861393
1.578294772031803e-05,1.23,1.578294772031803e-05,1.221705227968197,1.578294772031803e-05,3.029889856788494
1.578488968397569e-05,1.23,1.578488968397569e-05,1.221511031602431,1.578488968397569e-05,2.804450504564888
1.578547959099158e-05,1.23,1.578547959099158e-05,1.221452040900842,1.578547959099158e-05,2.693194399191545
1.578602303796405e-05,1.23,1.578602303796405e-05,1.221397696203595,1.578602303796405e-05,2.542239656626813
1.578638708805442e-05,1.23,1.578638708805442e-05,1.221361291194558,1.578638708805442e-05,2.385039059960892
1.578667660668595e-05,1.23,1.578667660668595e-05,1.221332339331405,1.578667660668595e-05,2.167924274063062
1.578698709940183e-05,1.23,1.578698709940183e-05,1.221301290059817,1.578698709940183e-05,1.80787657879029
1.57873261456319e-05,1.23,1.57873261456319e-05,1.22126738543681,1.57873261456319e-05,1.286977535088284
1.578752848487271e-05,1.23,1.578752848487271e-05,1.221247151512729,1.578752848487271e-05,0.95181560796528
1.578769456615303e-05,1.23,1.578769456615303e-05,1.221230543384697,1.578769456615303e-05,0.7282641865940425
1.578786857760916e-05,1.23,1.578786857760916e-05,1.221213142239084,1.578786857760916e-05,0.5863368179753067
1.5788050247927e-05,1.23,1.5788050247927e-05,1.2211949752073,1.5788050247927e-05,0.5106740278287887
1.57882617004858e-05,1.23,1.57882617004858e-05,1.221173829951419,1.57882617004858e-05,0.4563175783360822
